"","colid","colname","colpop"
"85","3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","64"
"86","4opTS86dN9uO313J9CE8xg","Skid Row","61"
"87","3UbyYnvNIT5DFXU4WgiGpP","Whitesnake","65"
"88","2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","69"
"89","6H1RjVyNruCmrBEWRbD0VZ","Def Leppard","67"
"90","1fBCIkoPOPCDLUxGuWNvyo","Poison","63"
"91","7HLvzuM9p11k9lUQfSM4Rq","Warrant","59"
"92","1LB8qB5BPb3MHQrfkvifXU","Cheap Trick","65"
"93","34jw2BbxjoYalTp8cJFCPv","Heart","67"
"94","1dLWg6m8RRhizsdqJbhyj3","Quiet Riot","59"
"95","711MCceyCBcFnzjGY4Q7Un","AC/DC","82"
"96","7b85ve82Sh36a3UAx74wut","Twisted Sister","60"
"97","00tVTdpEhQQw1bqdu8RCx2","Blue Öyster Cult","65"
"98","58lV9VcRSjABbAbfWS6skp","Bon Jovi","77"
"99","27T030eWyCQRmDyuvr1kxY","Scorpions","70"
"100","21ysNsPzHdqYN2fQ75ZswG","Ted Nugent","59"
"101","6FQqZYVfTNQ1pCqfkwVFEa","Foals","70"
"102","3pTE9iaJTkWns3mxpNQlJV","Bombay Bicycle Club","64"
"103","6dgwEwnK0YtDfS9XhRwBTG","Broken Bells","64"
"104","0vW8z9pZMGCcRtGPGtyqiB","The Maccabees","58"
"105","5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","70"
"106","75dQReiBOHN37fQgWQrIAJ","Local Natives","69"
"107","6VDdCwrBM4qQaGxoAyxyJC","Cold War Kids","70"
"108","4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","73"
"109","1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","55"
"110","2Q0MyH5YMI5HPQjFjlq5g3","Chet Faker","71"
"111","2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","64"
"112","3ceQN2NVlLg1hgTzljDE4n","Half Moon Run","60"
"113","4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","72"
"114","7sgWBYtJpblXpJl2lU5WVs","Electric Guest","66"
"115","2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","66"
"116","1l9d7B8W0IHy3LqWsxP2SH","Phantogram","67"
"117","7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","68"
"118","3kVUvbeRdcrqQ3oHk5hPdx","Grouplove","70"
"119","3kjuyTCjPG1WMFCiyc5IuB","Arcade Fire","71"
"120","4l1cKWYW591xnwEGxpUg3J","Miike Snow","67"
"121","0z5DFXmhT4ZNzWElsM7V89","Erasure","63"
"122","0AEDwJyvLfojF4iKEmJDMT","Anything Box","23"
"123","6LQeBFIfD4C22RJVVjQ6S7","Jimmy Somerville","46"
"124","6IDifUtaIPK4yuAiq5W2iG","Holly Johnson","31"
"125","7nBZYpVAH6bD0QlD7Mpil7","Marc Almond","41"
"126","5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","57"
"127","3xYNGCooNIzKMAtJYKSOyq","Electronic","43"
"128","2YTbBGa3Tf2rRPhiJxWoUN","Camouflage","42"
"129","1m3xxj0iHUjur3yQjVvAD2","Red Flag","23"
"130","1048abrwjsuNC1QWEnAOSl","Parralox","21"
"131","0s0rOb0gT2S9N0SDcjtPC4","Alison Moyet","51"
"132","1uS4cYRRZRtauASIM9RxBG","Mesh","37"
"133","2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","66"
"134","0ow8F3xGkmZWVulTtaiFQo","Book Of Love","34"
"135","2zM9tZiuiAOL4YP0YxLE7l","Martin L. Gore","34"
"136","71kSWeYFioviuty6e3aj5k","Marsheaux","37"
"137","7hKXTmrq3ZppBx881yBbOr","Dave Gahan","38"
"138","0EPf9vAXPdFV5Ezp1sMX8B","Visage","45"
"139","2fCyvnDEdnRubsGvtQFhMX","Zynic","29"
"140","4p1uJorxRAxeIg6CRjfhxD","Daily Planet","22"
"141","1R84VlXnFFULOsWWV8IrCQ","Panda Bear","55"
"142","5VF0YkVLeVD4ytyiyVSIiF","Dirty Projectors","58"
"143","2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","66"
"144","38zTZcuN7nFvVJ6auhc6V3","Deerhunter","57"
"145","4UHzJP2iKVf0RhKIv7ZE2l","Black Moth Super Rainbow","44"
"146","3kGhAL9j1WyNjNkWTRQd8T","Atlas Sound","43"
"147","5xeBMeW0YzWIXSVzAxhM8O","of Montreal","56"
"148","5Z3IWpvwOvoaWodujHw7xh","Dan Deacon","45"
"149","7Ht57YadlBXcFJDK3plmhO","The Microphones","47"
"150","4UvhuGdFf75Cfan7lEU1J1","The Books","44"
"151","5H0YoDsPDi9fObFmJtTjfN","Ariel Pink","55"
"152","5JLqvjW3Nyom2OsRUyFsS9","Xiu Xiu","45"
"153","3EMSpwRtkvUTxfB4aS5xnA","Battles","44"
"154","2ooIqOf4X2uz4mMptXCtie","Neutral Milk Hotel","58"
"155","7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","59"
"156","04HvbIwBccFmRie5ATX4ft","Yeasayer","54"
"157","4Sw0SFu1fFdYXdAEVdrqnO","Mount Eerie","50"
"158","22ojy4H4ZVpowC4lRRC8In","Destroyer","49"
"159","0yJolfjqzHfNbr9IoBSndu","Avey Tare","35"
"160","0asVlqTLu3TimnYVyY5Jxi","tUnE-yArDs","50"
"161","2PfBzriIMRsCXPDtSy9vg8","Rufus Wainwright","58"
"162","6s92YZUPkTK1HL1WIGrPKE","Patrick Wolf","38"
"163","6G7OerKc3eBO9sVkRNopFC","Cat Power","61"
"164","6VJZYivuYJGCrPuOAnI7Qo","ANOHNI","49"
"165","6PBv8t9YTLggA9ZMwpeoqj","Joan As Police Woman","43"
"166","05fo024EFotg9songSENOZ","CocoRosie","52"
"167","1v5bOzXbhrQ57qSvRwGA6s","The Irrepressibles","46"
"168","6l77PmL5iuEEcYjGl8K6s7","Bat For Lashes","53"
"169","3dmSPhg0tdao8ePj4pySJ5","Tindersticks","45"
"170","2ueoLVCXQ948OfhVvAy3Nn","Perfume Genius","62"
"171","2mAYpnSe3g2Y22JcZ2ddku","Soap&Skin","39"
"172","12VaqyEhgwDRuFfEqbnrpz","PJ Harvey","60"
"173","5zjaF8JUdylMWrA7AVo3hJ","Marissa Nadler","47"
"174","2QIHd0B2VIKlmLyoq4lUr7","Alela Diane","46"
"175","2L3kwZFd16zjHz9a5kEPAm","Ane Brun","62"
"176","7bPs6jf983f0bjRAt1yxDM","Patrick Watson","62"
"177","7zHIrsSBL7A0gEJfzv1m7z","Benjamin Clementine","58"
"178","67pQ8Yr09zDDzzwWw3EG9R","Martha Wainwright","56"
"179","3TScZ6zJkavDy0tqoGqiCf","John Grant","49"
"180","1WHoAjAWGx5qLsgzpaOk7W","Hercules & Love Affair","55"
"181","2cCUtGK9sDU2EoElnk0GNB","The National","71"
"182","7lOJ7WXyopaxri0dbOiZkd","Broken Social Scene","59"
"183","0XSqX2PB3C5dTMv7SZaxSm","Wolf Parade","49"
"184","3WaJSfKnzc65VDgmj2zU8B","Interpol","66"
"185","1jSaZgaKHmgc7VTgML528r","Clap Your Hands Say Yeah","52"
"186","3HJIB8sYPyxrFGuwvKXSLR","TV On The Radio","61"
"187","6kFay2DQ5aZfeu5OsrF3Pw","The Walkmen","52"
"188","066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","67"
"189","0K1q0nXQ8is36PzOKAMbNe","Spoon","67"
"190","2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","66"
"191","16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","61"
"192","3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","65"
"193","38zTZcuN7nFvVJ6auhc6V3","Deerhunter","57"
"194","4LG4Bs1Gadht7TCrMytQUO","The Shins","70"
"195","4kwxTgCKMipBKhSnEstNKj","Animal Collective","59"
"196","7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","58"
"197","4I2BJf80C0skQpp1sQmA0h","Belle & Sebastian","61"
"198","56ZTgzPBDge0OvCGgMO3OY","Beach House","67"
"199","4mO4aGO6u29UyR6XLZR9XW","The New Pornographers","55"
"200","0vW8z9pZMGCcRtGPGtyqiB","The Maccabees","58"
"201","0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","68"
"202","4fSPtBgFPZzygkY6MehwQ7","The Libertines","62"
"203","2Z7UcsdweVlRbAk5wH5fsf","The Last Shadow Puppets","63"
"204","1GLtl8uqKmnyCWxHmw9tL4","The Kooks","74"
"205","0epOFNiUfyON9EYx7Tpr6V","The Strokes","76"
"206","0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","64"
"207","11wRdbnoYqRddKBrpHt4Ue","Kasabian","73"
"208","3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","64"
"209","450iujbtN6XgiA9pv6fVZz","Razorlight","61"
"210","1ctkBmvz80MGyi72Ix055S","Alex Turner","57"
"211","0Ya43ZKWHTKkAbkoJJkwIB","The Wombats","68"
"212","7FPkZue0zzjHaOPJb4WCw3","The Pigeon Detectives","52"
"213","0Ak6DLKHtpR6TEEnmcorKA","The Vaccines","62"
"214","0IBAqjHG8DSaD7PPCGnGiZ","Babyshambles","54"
"215","3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","64"
"216","1NfJU4hy56Z4UM4iyIa1B2","Courteeners","64"
"217","3Rsr4Z96O6U3lToOiV3zBh","Jamie T","62"
"218","26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","75"
"219","0vW8z9pZMGCcRtGPGtyqiB","The Maccabees","58"
"220","3WaJSfKnzc65VDgmj2zU8B","Interpol","66"
"221","0sHeX8oQ6o7xic3wMf4NBU","Supergrass","59"
"222","3iejrAcqxYoVgyxp6zkWgs","Shed Seven","44"
"223","66nOkPJTFgK25NMmojG04V","The Bluetones","43"
"224","5vIOGcdmx1eIkq3ZtuS12U","Ocean Colour Scene","53"
"225","2uH0RyPcX7fnCcT90HFDQX","Manic Street Preachers","58"
"226","0vBDEQ1aLZpe4zgn2fPH6Z","Cast","45"
"227","1dekSPU23UC5hw5b8Uxk9W","Dodgy","41"
"228","0ZZr6Y49NZWRJc0uCwqpMR","Feeder","54"
"229","7rqRuB0wgUaStDN73PlV4U","Mansun","38"
"230","74K7bX12L8GBAWvPuyIgJ7","Embrace","47"
"231","5fScAXreYFnuqwOgBsJgSd","The Charlatans","56"
"232","1xdB9gS1NrKEYgZUEfoqIw","Idlewild","40"
"233","0NbfEPYRgMczimdfM3skmH","Sleeper","40"
"234","4Bgfzia8wyaGaTn42egzTv","Catatonia","42"
"235","1o7zIbVAgDDHKijLVuLASg","Longpigs","36"
"236","0LVrQUinPUBFvVD5pLqmWY","Doves","53"
"237","3mbVe260Kgvs1P8YFcCyY7","The Seahorses","39"
"238","3l14gV4hIMAjmo7KUvEWTx","Elastica","42"
"239","6bEiU0j4lC3yh2D1kHzFpb","Echobelly","34"
"240","0FOcXqJgJ1oq9XfzYTDZmZ","Super Furry Animals","44"
"241","5xUf6j4upBrXZPg6AI4MRK","Soundgarden","76"
"242","64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","71"
"243","2UazAtjfzqBF0Nho2awK4z","Stone Temple Pilots","68"
"244","7CHilrn81OdYjkh4uSVnYM","Velvet Revolver","56"
"245","5KDIH2gF0VpelTqyQS7udb","Staind","68"
"246","7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","79"
"247","4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","65"
"248","6GbCJZrI318Ybm8mY36Of5","Faith No More","63"
"249","2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","73"
"250","0XHiH53dHrvbwfjYM7en7I","Chris Cornell","72"
"251","78SHxLdtysAXgywQ4vE0Oa","Bush","63"
"252","02NfyD6AlLA12crYzw5YcR","Jane's Addiction","59"
"253","4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","71"
"254","43sZBwHjahUvgbx1WNIkIz","Creed","67"
"255","1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","77"
"256","0iHb0mCbqZTYeb4y9Pirrd","Temple Of The Dog","64"
"257","3R6c2tWDBeYB1GncjLMn9n","Candlebox","55"
"258","4iudEcmuPlYNdbP3e1bdn1","Silverchair","62"
"259","5sD1ZLf2dGQ9gQ3YJl1eAd","Blind Melon","62"
"260","6Ghvu1VvMGScGpOUJBAHNH","Deftones","69"
"261","7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","71"
"262","3LkSiHbjqOHCKCqBfEZOTv","Atreyu","61"
"263","2zgG1GPDvjaBgxeQaVXI14","All That Remains","65"
"264","278ZYwGhdK6QTzE3MFePnP","Trivium","64"
"265","37394IP6uhnjIpsawpMu4l","Killswitch Engage","67"
"266","4RddZ3iHvSpGV4dvATac9X","Papa Roach","77"
"267","5BtHciL0e0zOP7prIHn3pP","Breaking Benjamin","74"
"268","70BYFdaZbEKbeauJ670ysI","Shinedown","73"
"269","5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","78"
"270","49qiE8dj4JuNdpYGRPdKbF","Stone Sour","71"
"271","05fG473iIaoy82BF1aGhL8","Slipknot","77"
"272","4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","65"
"273","3TOqt5oJwL9BE2NG9MEwDa","Disturbed","78"
"274","5ojhEavq6altxW8fWIlLum","Escape the Fate","65"
"275","1E4r4z7ivGUcSAnCbINJ9v","Drowning Pool","66"
"276","0lVlNsuGaOr9vMHCZIAKMt","Machine Head","61"
"277","2Pfv2w8a20xzC7Dr7QXRqM","Mudvayne","61"
"278","6tbLPxj1uQ6vsRQZI2YFCT","In This Moment","64"
"279","2vd2HnNh4pdYa9gDVHFjEu","As I Lay Dying","57"
"280","0CEFCo8288kQU7mJi25s6E","Hollywood Undead","72"
"281","7iLc4hrjOjQPfg1E3cCHg1","Tim Berg","51"
"282","2XnBwblw31dfGnspMIwgWz","Axwell /\ Ingrosso","77"
"283","7GMot9WvBYqhhJz92vhBp6","EDX","68"
"284","2qxJFvFYMEDqd7ui6kSAcq","Zedd","88"
"285","1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","85"
"286","2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","81"
"287","1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","70"
"288","7CajNmpbOovFoOoasH2HaY","Calvin Harris","90"
"289","4AVFqumd2ogHFlRbKIjp1t","Alesso","77"
"290","6hyMWrxGBsOx6sWcVj1DqP","Sebastian Ingrosso","69"
"291","1xNmvlEiICkRlRGqlNFZ43","Axwell","68"
"292","5fahUm8t5c0GIdeTq0ZaG8","Otto Knows","66"
"293","6BrvowZBreEkXzJQMpL174","Hardwell","75"
"294","4FqPRilb0Ja0TKG3RS3y4s","Steve Angello","62"
"295","5kp9Qhzri9LrDkzrtjt5Sh","Adrian Lux","50"
"296","5YFS41yoX0YuFY39fq21oN","Bob Sinclar","62"
"297","5ChF3i92IPZHduM7jN3dpg","Nicky Romero","68"
"298","4D75GcNG95ebPtNvoNVXhz","Afrojack","76"
"299","1IELhvOMg5VQlU7syRm6CS","CAZZETTE","67"
"300","00sAT5YX8W3xNd1EuqyHw9","Dada Life","58"
"301","3amwMyDd1uxTBoUZlazZ9m","Brooke Candy","50"
"302","2cyyGl4qnHZL0o16t0fpJl","Angel Haze","54"
"303","0e53LR6d2xTKZz9om9ZGyO","Le1f","38"
"304","51xJF4OqJPHWop1fv0VVyd","Kreayshawn","47"
"305","6atGQM99IrRfUefJFore1B","Junglepussy","43"
"306","5Tz4zMiRWqiQVAymWZz99a","Zebra Katz","64"
"307","6MoQZOH2KnQrJhVtO9VoXC","Cakes da Killa","40"
"308","7pyhre5oEEFMqcgMEvJY7q","Sky Ferreira","52"
"309","0QJIPDAEDILuo8AIq3pMuU","M.I.A.","69"
"310","2tSv9mEQSuNVMGr9qjYfkr","Mykki Blanco","44"
"311","4k2ggpJpzdQHCBQ84f1jBy","Alaska Thunderfuck","54"
"312","6wdvERzX4CUCOXu6hSS95x","Natalia Kills","55"
"313","0IF46mUS8NXjgHabxk2MCM","Kelis","66"
"314","5tth2a3v0sWwV1C7bApBdX","Lil' Kim","67"
"315","0S05AeePINj4CeTVMfysIu","Rye Rye","49"
"316","76SlrtEaq2oViRXulxjfuM","cupcakKe","58"
"317","6nB0iY1cjSY1KyhYyuIIKH","FKA twigs","59"
"318","25uiPmTg16RbhZWAqwLBy5","Charli XCX","75"
"319","0wnYgCeP013HkKoOyC5V32","Allie X","59"
"320","1U0sIzpRtDkvu1hXXzxh60","Kelela","61"
"321","4zPGlyitRvJo7iz6OKlETa","Gomez","46"
"322","0LVrQUinPUBFvVD5pLqmWY","Doves","53"
"323","1zrBQvkTNhFFby4V5UiK2L","Turin Brakes","47"
"324","0FOcXqJgJ1oq9XfzYTDZmZ","Super Furry Animals","44"
"325","4IDoKaZIEacb3QncU8RQMp","I Am Kloot","40"
"326","1ZsnHGOLYFg8CAHQQBc1ut","Richard Hawley","49"
"327","2LMR8u7DOMF0FBseDpTsRa","The Beta Band","44"
"328","0sHeX8oQ6o7xic3wMf4NBU","Supergrass","59"
"329","77oD8X9qLXZhpbCjv53l5n","Mercury Rev","44"
"330","6OiHleP2bHM18dXq4aZQWt","The Coral","58"
"331","0tYc0gVOzssZmLpVO6wh7L","The Thrills","39"
"332","7EV6jW6dotBdvsHj6xPixi","The Divine Comedy","51"
"333","3W4xM5XYtUp4ifYYPVKVdk","Grandaddy","53"
"334","5fScAXreYFnuqwOgBsJgSd","The Charlatans","56"
"335","6XiSck3QPuXk7ho6zlDz3P","The Bees","40"
"336","3s398TKZNahAURRacx7oIT","Ian Brown","49"
"337","3zunDAtRDg7kflREzWAhxl","Eels","59"
"338","5zhn89Em2jWUUWdpcLO3YL","British Sea Power","45"
"339","2evydP72Z45DouM4uMGsIE","Ash","49"
"340","66nOkPJTFgK25NMmojG04V","The Bluetones","43"
"341","1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","64"
"342","5kwHgbzNHq1iHkUSrAmjjQ","Audio Bullys","43"
"343","3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","58"
"344","67tgMwUfnmqzYsNAtnP6YJ","Groove Armada","59"
"345","4sf3QZW8a3xZ14IGsOAzoy","Cassius","52"
"346","4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","64"
"347","5T4UKHhr4HGIC0VzdZQtAE","Faithless","59"
"348","1PXHzxRDiLnjqNrRn2Xbsa","Underworld","57"
"349","3csPCeXsj2wezyvkRFzvmV","Orbital","50"
"350","4aaBjq7VqqQvpSF69GglvO","Moloko","54"
"351","69NjLU6rit8q9XEjL50BOj","Mint Royale","41"
"352","5YjEVrNMrIRw2xGbjTN6Ti","Mylo","43"
"353","31DXlldabwPHwu6dYevuzK","Simian Mobile Disco","48"
"354","49H2dQUNhIlso7VNkS8nFR","Freemasons","48"
"355","37uLId6Z5ZXCx19vuruvv5","Hot Chip","63"
"356","72hqBMsw7x5jnfxxwkii8L","Leftfield","51"
"357","2fBURuq7FrlH6z5F92mpOl","Digitalism","56"
"358","4k1ELeJKT1ISyDv8JivPpB","The Prodigy","66"
"359","37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","44"
"360","0AkpPlFLnr0VQwZQeMGht0","Modjo","53"
"361","3NPpFNZtSTHheNBaWC82rB","X Ambassadors","78"
"362","0MlOPi3zIDMVrfA9R04Fe3","American Authors","67"
"363","6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","71"
"364","0YhUSm86okLWldQVwJkLlP","Bad Suns","68"
"365","42vg2T0Xg9yPaAgogJzoQH","Atlas Genius","61"
"366","0Ya43ZKWHTKkAbkoJJkwIB","The Wombats","68"
"367","2xaAOVImG2O6lURwqperlD","Catfish and the Bottlemen","71"
"368","5ivCbtrcD5N4rD337xIb2z","MisterWives","70"
"369","4BxCuXFJrSWGi1KHcVqaU4","Kodaline","73"
"370","2wpJOPmf1TIOzrB9mzHifd","Scouting For Girls","62"
"371","2txHhyCwHjUEpJjWrEyqyX","Tom Odell","72"
"372","2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","71"
"373","6AGUQK1EWK6nvN4pLIDQDQ","The Mowgli's","60"
"374","4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","73"
"375","4j56EQDQu5XnL7R3E9iFJT","Young the Giant","70"
"376","0MmnmsAuQKRFpo6vJElcaU","Amber Run","63"
"377","536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","75"
"378","3w6zswp5THsSKYLICUbDTZ","Gabrielle Aplin","67"
"379","6hl5k4gLl1p3sjhHcb57t2","Circa Waves","61"
"380","5OgSr6wQteRu9jek5JvnDQ","Coasts","55"
"381","6UOcY6w4K6Ek5Lw5rFDHdP","iamamiwhoami","49"
"382","12VaqyEhgwDRuFfEqbnrpz","PJ Harvey","60"
"383","6oBm8HB0yfrIc9IHbxs6in","Lykke Li","66"
"384","7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","58"
"385","3qwabfaWewpfli7hMNM3O8","Róisín Murphy","50"
"386","78OKNrjc3BvniYTqvpOp6P","Zola Jesus","44"
"387","7hAolICGSgXJuM6DUpK5rp","Chairlift","56"
"388","5BKsn7SCN2XmbF7apdCpRS","Goldfrapp","60"
"389","3AmgGrYHXqgbmZ2yKoIVzO","Warpaint","61"
"390","05fo024EFotg9songSENOZ","CocoRosie","52"
"391","50sSN9E5i4DJzYDclAXlSo","Anna Calvi","40"
"392","6G7OerKc3eBO9sVkRNopFC","Cat Power","61"
"393","1o43SzzuLoyOxqThmp7s0g","Austra","51"
"394","5zjaF8JUdylMWrA7AVo3hJ","Marissa Nadler","47"
"395","5hE6NCoobhyEu6TRSbjOJY","Fever Ray","54"
